date,company,metric,value
2026-07-24,美团,知乎_mentions,0
2026-07-24,美团,百度_mentions,0
2026-07-24,携程,google_growth_1m,-18.2
2026-07-24,携程,google_growth_3m,-16.3
2026-07-24,携程,google_value,36.0
2026-07-24,携程,抖音_mentions,0
2026-07-24,携程,小红书_mentions,0
2026-07-24,携程,微博_mentions,0
2026-07-24,携程,知乎_mentions,1
2026-07-24,携程,百度_mentions,0
2026-07-24,老铺黄金,google_growth_1m,-38.0
2026-07-24,老铺黄金,google_growth_3m,72.2
2026-07-24,老铺黄金,google_value,62.0
2026-07-24,老铺黄金,抖音_mentions,0
2026-07-24,老铺黄金,小红书_mentions,0
2026-07-24,老铺黄金,微博_mentions,0
2026-07-24,老铺黄金,知乎_mentions,0
2026-07-24,老铺黄金,百度_mentions,0
2026-07-24,中芯国际,google_growth_1m,-41.9
2026-07-24,中芯国际,google_growth_3m,-12.2
2026-07-24,中芯国际,google_value,43.0
2026-07-24,中芯国际,抖音_mentions,0
2026-07-24,中芯国际,小红书_mentions,0
2026-07-24,中芯国际,微博_mentions,0
2026-07-24,中芯国际,知乎_mentions,0
2026-07-24,中芯国际,百度_mentions,0
2026-07-24,农夫山泉,google_growth_1m,4.8
2026-07-24,农夫山泉,google_growth_3m,109.5
2026-07-24,农夫山泉,google_value,44.0
2026-07-24,农夫山泉,抖音_mentions,0
2026-07-24,农夫山泉,小红书_mentions,0
2026-07-24,农夫山泉,微博_mentions,0
2026-07-24,农夫山泉,知乎_mentions,0
2026-07-24,农夫山泉,百度_mentions,0
2026-07-24,华虹宏力,google_growth_1m,-45.0
2026-07-24,华虹宏力,google_growth_3m,-23.3
2026-07-24,华虹宏力,google_value,33.0
2026-07-24,华虹宏力,抖音_mentions,0
2026-07-24,华虹宏力,小红书_mentions,0
2026-07-24,华虹宏力,微博_mentions,0
2026-07-24,华虹宏力,知乎_mentions,0
2026-07-24,华虹宏力,百度_mentions,0
2026-07-24,宁德时代,google_growth_1m,-60.9
2026-07-24,宁德时代,google_growth_3m,-54.4
2026-07-24,宁德时代,google_value,36.0
2026-07-24,宁德时代,抖音_mentions,0
2026-07-24,宁德时代,小红书_mentions,0
2026-07-24,宁德时代,微博_mentions,0
2026-07-24,宁德时代,知乎_mentions,1
2026-07-24,宁德时代,百度_mentions,0
2026-07-24,智谱,google_growth_1m,4.7
2026-07-24,智谱,google_growth_3m,-10.0
2026-07-24,智谱,google_value,45.0
2026-07-24,智谱,抖音_mentions,0
2026-07-24,智谱,小红书_mentions,0
2026-07-24,智谱,微博_mentions,0
2026-07-24,智谱,知乎_mentions,0
2026-07-24,智谱,百度_mentions,0
2026-07-25,泡泡玛特,google_growth_1m,-32.1
2026-07-25,泡泡玛特,google_growth_3m,-44.1
2026-07-25,泡泡玛特,google_value,19.0
2026-07-25,泡泡玛特,抖音_mentions,0
2026-07-25,泡泡玛特,小红书_mentions,0
2026-07-25,泡泡玛特,微博_mentions,0
2026-07-25,泡泡玛特,知乎_mentions,0
2026-07-25,泡泡玛特,百度_mentions,0
2026-07-25,蜜雪集团,google_growth_1m,0.0
2026-07-25,蜜雪集团,google_growth_3m,6.7
2026-07-25,蜜雪集团,google_value,16.0
2026-07-25,蜜雪集团,抖音_mentions,0
2026-07-25,蜜雪集团,小红书_mentions,0
2026-07-25,蜜雪集团,微博_mentions,0
2026-07-25,蜜雪集团,知乎_mentions,0
2026-07-25,蜜雪集团,百度_mentions,0
2026-07-25,小米集团,google_growth_1m,-25.0
2026-07-25,小米集团,google_growth_3m,-20.3
2026-07-25,小米集团,google_value,51.0
2026-07-25,小米集团,抖音_mentions,0
2026-07-25,小米集团,小红书_mentions,0
2026-07-25,小米集团,微博_mentions,0
2026-07-25,小米集团,知乎_mentions,1
2026-07-25,小米集团,百度_mentions,0
2026-07-25,东方甄选,google_growth_1m,-56.2
2026-07-25,东方甄选,google_growth_3m,-12.5
2026-07-25,东方甄选,google_value,7.0
2026-07-25,东方甄选,抖音_mentions,0
2026-07-25,东方甄选,小红书_mentions,0
2026-07-25,东方甄选,微博_mentions,0
2026-07-25,东方甄选,知乎_mentions,0
2026-07-25,东方甄选,百度_mentions,0
2026-07-25,阿里巴巴,google_growth_1m,-12.0
2026-07-25,阿里巴巴,google_growth_3m,-8.3
2026-07-25,阿里巴巴,google_value,22.0
2026-07-25,阿里巴巴,抖音_mentions,0
2026-07-25,阿里巴巴,小红书_mentions,0
2026-07-25,阿里巴巴,微博_mentions,0
2026-07-25,阿里巴巴,知乎_mentions,0
2026-07-25,阿里巴巴,百度_mentions,0
2026-07-25,腾讯控股,google_growth_1m,-27.9
2026-07-25,腾讯控股,google_growth_3m,-14.9
2026-07-25,腾讯控股,google_value,57.0
2026-07-25,腾讯控股,抖音_mentions,1
2026-07-25,腾讯控股,小红书_mentions,0
2026-07-25,腾讯控股,微博_mentions,1
2026-07-25,腾讯控股,知乎_mentions,1
2026-07-25,腾讯控股,百度_mentions,0
2026-07-25,小鹏汽车,google_growth_1m,-2.2
2026-07-25,小鹏汽车,google_growth_3m,8.4
2026-07-25,小鹏汽车,google_value,90.0
2026-07-25,小鹏汽车,抖音_mentions,0
2026-07-25,小鹏汽车,小红书_mentions,0
2026-07-25,小鹏汽车,微博_mentions,0
2026-07-25,小鹏汽车,知乎_mentions,1
2026-07-25,小鹏汽车,百度_mentions,0
2026-07-25,美团,google_growth_1m,-60.4
2026-07-25,美团,google_growth_3m,-46.3
2026-07-25,美团,google_value,36.0
2026-07-25,美团,抖音_mentions,0
2026-07-25,美团,小红书_mentions,0
2026-07-25,美团,微博_mentions,0
2026-07-25,美团,知乎_mentions,0
2026-07-25,美团,百度_mentions,0
2026-07-25,携程,google_growth_1m,-18.2
2026-07-25,携程,google_growth_3m,-16.3
2026-07-25,携程,google_value,36.0
2026-07-25,携程,抖音_mentions,0
2026-07-25,携程,小红书_mentions,0
2026-07-25,携程,微博_mentions,0
2026-07-25,携程,知乎_mentions,0
2026-07-25,携程,百度_mentions,0
2026-07-25,老铺黄金,google_growth_1m,-38.0
2026-07-25,老铺黄金,google_growth_3m,72.2
2026-07-25,老铺黄金,google_value,62.0
2026-07-25,老铺黄金,抖音_mentions,0
2026-07-25,老铺黄金,小红书_mentions,0
2026-07-25,老铺黄金,微博_mentions,0
2026-07-25,老铺黄金,知乎_mentions,0
2026-07-25,老铺黄金,百度_mentions,0
2026-07-25,中芯国际,google_growth_1m,-41.9
2026-07-25,中芯国际,google_growth_3m,-12.2
2026-07-25,中芯国际,google_value,43.0
2026-07-25,中芯国际,抖音_mentions,0
2026-07-25,中芯国际,小红书_mentions,0
2026-07-25,中芯国际,微博_mentions,0
2026-07-25,中芯国际,知乎_mentions,0
2026-07-25,中芯国际,百度_mentions,0
2026-07-25,农夫山泉,google_growth_1m,4.8
2026-07-25,农夫山泉,google_growth_3m,109.5
2026-07-25,农夫山泉,google_value,44.0
2026-07-25,农夫山泉,抖音_mentions,0
2026-07-25,农夫山泉,小红书_mentions,0
2026-07-25,农夫山泉,微博_mentions,0
2026-07-25,农夫山泉,知乎_mentions,0
2026-07-25,农夫山泉,百度_mentions,0
2026-07-25,华虹宏力,google_growth_1m,-45.0
2026-07-25,华虹宏力,google_growth_3m,-23.3
2026-07-25,华虹宏力,google_value,33.0
2026-07-25,华虹宏力,抖音_mentions,0
2026-07-25,华虹宏力,小红书_mentions,0
2026-07-25,华虹宏力,微博_mentions,0
2026-07-25,华虹宏力,知乎_mentions,0
2026-07-25,华虹宏力,百度_mentions,0
2026-07-25,宁德时代,google_growth_1m,-60.9
2026-07-25,宁德时代,google_growth_3m,-54.4
2026-07-25,宁德时代,google_value,36.0
2026-07-25,宁德时代,抖音_mentions,0
2026-07-25,宁德时代,小红书_mentions,0
2026-07-25,宁德时代,微博_mentions,0
2026-07-25,宁德时代,知乎_mentions,0
2026-07-25,宁德时代,百度_mentions,0
2026-07-25,智谱,google_growth_1m,4.7
2026-07-25,智谱,google_growth_3m,-10.0
2026-07-25,智谱,google_value,45.0
2026-07-25,智谱,抖音_mentions,0
2026-07-25,智谱,小红书_mentions,0
2026-07-25,智谱,微博_mentions,0
2026-07-25,智谱,知乎_mentions,0
2026-07-25,智谱,百度_mentions,0
2026-07-26,泡泡玛特,google_growth_1m,-32.1
2026-07-26,泡泡玛特,google_growth_3m,-44.1
2026-07-26,泡泡玛特,google_value,19.0
2026-07-26,泡泡玛特,抖音_mentions,0
2026-07-26,泡泡玛特,小红书_mentions,0
2026-07-26,泡泡玛特,微博_mentions,0
2026-07-26,泡泡玛特,知乎_mentions,0
2026-07-26,泡泡玛特,百度_mentions,0
2026-07-26,蜜雪集团,google_growth_1m,0.0
2026-07-26,蜜雪集团,google_growth_3m,6.7
2026-07-26,蜜雪集团,google_value,16.0
2026-07-26,蜜雪集团,抖音_mentions,0
2026-07-26,蜜雪集团,小红书_mentions,0
2026-07-26,蜜雪集团,微博_mentions,0
2026-07-26,蜜雪集团,知乎_mentions,0
2026-07-26,蜜雪集团,百度_mentions,0
2026-07-26,小米集团,google_growth_1m,-25.0
2026-07-26,小米集团,google_growth_3m,-20.3
2026-07-26,小米集团,google_value,51.0
2026-07-26,小米集团,抖音_mentions,0
2026-07-26,小米集团,小红书_mentions,0
2026-07-26,小米集团,微博_mentions,0
2026-07-26,小米集团,知乎_mentions,0
2026-07-26,小米集团,百度_mentions,0
2026-07-26,东方甄选,google_growth_1m,-56.2
2026-07-26,东方甄选,google_growth_3m,-12.5
2026-07-26,东方甄选,google_value,7.0
2026-07-26,东方甄选,抖音_mentions,0
2026-07-26,东方甄选,小红书_mentions,0
2026-07-26,东方甄选,微博_mentions,0
2026-07-26,东方甄选,知乎_mentions,0
2026-07-26,东方甄选,百度_mentions,0
2026-07-26,阿里巴巴,google_growth_1m,-12.0
2026-07-26,阿里巴巴,google_growth_3m,-8.3
2026-07-26,阿里巴巴,google_value,22.0
2026-07-26,阿里巴巴,抖音_mentions,0
2026-07-26,阿里巴巴,小红书_mentions,0
2026-07-26,阿里巴巴,微博_mentions,0
2026-07-26,阿里巴巴,知乎_mentions,0
2026-07-26,阿里巴巴,百度_mentions,0
2026-07-26,腾讯控股,google_growth_1m,-27.9
2026-07-26,腾讯控股,google_growth_3m,-14.9
2026-07-26,腾讯控股,google_value,57.0
2026-07-26,腾讯控股,抖音_mentions,0
2026-07-26,腾讯控股,小红书_mentions,0
2026-07-26,腾讯控股,微博_mentions,0
2026-07-26,腾讯控股,知乎_mentions,0
2026-07-26,腾讯控股,百度_mentions,0
2026-07-26,小鹏汽车,google_growth_1m,-2.2
2026-07-26,小鹏汽车,google_growth_3m,8.4
2026-07-26,小鹏汽车,google_value,90.0
2026-07-26,小鹏汽车,抖音_mentions,0
2026-07-26,小鹏汽车,小红书_mentions,0
2026-07-26,小鹏汽车,微博_mentions,0
2026-07-26,小鹏汽车,知乎_mentions,0
2026-07-26,小鹏汽车,百度_mentions,0
2026-07-26,美团,google_growth_1m,-60.4
2026-07-26,美团,google_growth_3m,-46.3
2026-07-26,美团,google_value,36.0
2026-07-26,美团,抖音_mentions,0
2026-07-26,美团,小红书_mentions,0
2026-07-26,美团,微博_mentions,0
2026-07-26,美团,知乎_mentions,0
2026-07-26,美团,百度_mentions,0
2026-07-26,携程,google_growth_1m,-18.2
2026-07-26,携程,google_growth_3m,-16.3
2026-07-26,携程,google_value,36.0
2026-07-26,携程,抖音_mentions,2
2026-07-26,携程,小红书_mentions,0
2026-07-26,携程,微博_mentions,0
2026-07-26,携程,知乎_mentions,0
2026-07-26,携程,百度_mentions,1
2026-07-26,老铺黄金,google_growth_1m,-38.0
2026-07-26,老铺黄金,google_growth_3m,72.2
2026-07-26,老铺黄金,google_value,62.0
2026-07-26,老铺黄金,抖音_mentions,0
2026-07-26,老铺黄金,小红书_mentions,0
2026-07-26,老铺黄金,微博_mentions,0
2026-07-26,老铺黄金,知乎_mentions,0
2026-07-26,老铺黄金,百度_mentions,0
2026-07-26,中芯国际,google_growth_1m,-41.9
2026-07-26,中芯国际,google_growth_3m,-12.2
2026-07-26,中芯国际,google_value,43.0
2026-07-26,中芯国际,抖音_mentions,0
2026-07-26,中芯国际,小红书_mentions,0
2026-07-26,中芯国际,微博_mentions,0
2026-07-26,中芯国际,知乎_mentions,0
2026-07-26,中芯国际,百度_mentions,0
2026-07-26,农夫山泉,google_growth_1m,4.8
2026-07-26,农夫山泉,google_growth_3m,109.5
2026-07-26,农夫山泉,google_value,44.0
2026-07-26,农夫山泉,抖音_mentions,0
2026-07-26,农夫山泉,小红书_mentions,0
2026-07-26,农夫山泉,微博_mentions,0
2026-07-26,农夫山泉,知乎_mentions,0
2026-07-26,农夫山泉,百度_mentions,0
2026-07-26,华虹宏力,google_growth_1m,-45.0
2026-07-26,华虹宏力,google_growth_3m,-23.3
2026-07-26,华虹宏力,google_value,33.0
2026-07-26,华虹宏力,抖音_mentions,0
2026-07-26,华虹宏力,小红书_mentions,0
2026-07-26,华虹宏力,微博_mentions,0
2026-07-26,华虹宏力,知乎_mentions,0
2026-07-26,华虹宏力,百度_mentions,0
2026-07-26,宁德时代,google_growth_1m,-60.9
2026-07-26,宁德时代,google_growth_3m,-54.4
2026-07-26,宁德时代,google_value,36.0
2026-07-26,宁德时代,抖音_mentions,0
2026-07-26,宁德时代,小红书_mentions,0
2026-07-26,宁德时代,微博_mentions,0
2026-07-26,宁德时代,知乎_mentions,0
2026-07-26,宁德时代,百度_mentions,0
2026-07-26,智谱,google_growth_1m,4.7
2026-07-26,智谱,google_growth_3m,-10.0
2026-07-26,智谱,google_value,45.0
2026-07-26,智谱,抖音_mentions,0
2026-07-26,智谱,小红书_mentions,0
2026-07-26,智谱,微博_mentions,0
2026-07-26,智谱,知乎_mentions,0
2026-07-26,智谱,百度_mentions,0
2026-07-27,泡泡玛特,google_growth_1m,-32.1
2026-07-27,泡泡玛特,google_growth_3m,-44.1
2026-07-27,泡泡玛特,google_value,19.0
2026-07-27,泡泡玛特,抖音_mentions,0
2026-07-27,泡泡玛特,小红书_mentions,0
2026-07-27,泡泡玛特,微博_mentions,0
2026-07-27,泡泡玛特,知乎_mentions,1
2026-07-27,泡泡玛特,百度_mentions,0
2026-07-27,蜜雪集团,google_growth_1m,0.0
2026-07-27,蜜雪集团,google_growth_3m,6.7
2026-07-27,蜜雪集团,google_value,16.0
2026-07-27,蜜雪集团,抖音_mentions,0
2026-07-27,蜜雪集团,小红书_mentions,0
2026-07-27,蜜雪集团,微博_mentions,0
2026-07-27,蜜雪集团,知乎_mentions,0
2026-07-27,蜜雪集团,百度_mentions,0
2026-07-27,小米集团,google_growth_1m,-25.0
2026-07-27,小米集团,google_growth_3m,-20.3
2026-07-27,小米集团,google_value,51.0
2026-07-27,小米集团,抖音_mentions,0
2026-07-27,小米集团,小红书_mentions,0
2026-07-27,小米集团,微博_mentions,1
2026-07-27,小米集团,知乎_mentions,0
2026-07-27,小米集团,百度_mentions,0
2026-07-27,东方甄选,google_growth_1m,-56.2
2026-07-27,东方甄选,google_growth_3m,-12.5
2026-07-27,东方甄选,google_value,7.0
2026-07-27,东方甄选,抖音_mentions,0
2026-07-27,东方甄选,小红书_mentions,0
2026-07-27,东方甄选,微博_mentions,0
2026-07-27,东方甄选,知乎_mentions,0
2026-07-27,东方甄选,百度_mentions,0
2026-07-27,阿里巴巴,google_growth_1m,-12.0
2026-07-27,阿里巴巴,google_growth_3m,-8.3
2026-07-27,阿里巴巴,google_value,22.0
2026-07-27,阿里巴巴,抖音_mentions,0
2026-07-27,阿里巴巴,小红书_mentions,0
2026-07-27,阿里巴巴,微博_mentions,0
2026-07-27,阿里巴巴,知乎_mentions,0
2026-07-27,阿里巴巴,百度_mentions,0
2026-07-27,腾讯控股,google_growth_1m,-27.9
2026-07-27,腾讯控股,google_growth_3m,-14.9
2026-07-27,腾讯控股,google_value,57.0
2026-07-27,腾讯控股,抖音_mentions,0
2026-07-27,腾讯控股,小红书_mentions,0
2026-07-27,腾讯控股,微博_mentions,0
2026-07-27,腾讯控股,知乎_mentions,0
2026-07-27,腾讯控股,百度_mentions,1
2026-07-27,小鹏汽车,google_growth_1m,-2.2
2026-07-27,小鹏汽车,google_growth_3m,8.4
2026-07-27,小鹏汽车,google_value,90.0
2026-07-27,小鹏汽车,抖音_mentions,0
2026-07-27,小鹏汽车,小红书_mentions,0
2026-07-27,小鹏汽车,微博_mentions,0
2026-07-27,小鹏汽车,知乎_mentions,0
2026-07-27,小鹏汽车,百度_mentions,0
2026-07-27,美团,google_growth_1m,-60.4
2026-07-27,美团,google_growth_3m,-46.3
2026-07-27,美团,google_value,36.0
2026-07-27,美团,抖音_mentions,0
2026-07-27,美团,小红书_mentions,0
2026-07-27,美团,微博_mentions,0
2026-07-27,美团,知乎_mentions,0
2026-07-27,美团,百度_mentions,0
2026-07-27,携程,google_growth_1m,-18.2
2026-07-27,携程,google_growth_3m,-16.3
2026-07-27,携程,google_value,36.0
2026-07-27,携程,抖音_mentions,0
2026-07-27,携程,小红书_mentions,0
2026-07-27,携程,微博_mentions,0
2026-07-27,携程,知乎_mentions,0
2026-07-27,携程,百度_mentions,0
2026-07-27,老铺黄金,google_growth_1m,-38.0
2026-07-27,老铺黄金,google_growth_3m,72.2
2026-07-27,老铺黄金,google_value,62.0
2026-07-27,老铺黄金,抖音_mentions,0
2026-07-27,老铺黄金,小红书_mentions,0
2026-07-27,老铺黄金,微博_mentions,0
2026-07-27,老铺黄金,知乎_mentions,0
2026-07-27,老铺黄金,百度_mentions,0
2026-07-27,中芯国际,google_growth_1m,-41.9
2026-07-27,中芯国际,google_growth_3m,-12.2
2026-07-27,中芯国际,google_value,43.0
2026-07-27,中芯国际,抖音_mentions,0
2026-07-27,中芯国际,小红书_mentions,0
2026-07-27,中芯国际,微博_mentions,0
2026-07-27,中芯国际,知乎_mentions,0
2026-07-27,中芯国际,百度_mentions,0
2026-07-27,农夫山泉,google_growth_1m,4.8
2026-07-27,农夫山泉,google_growth_3m,109.5
2026-07-27,农夫山泉,google_value,44.0
2026-07-27,农夫山泉,抖音_mentions,0
2026-07-27,农夫山泉,小红书_mentions,0
2026-07-27,农夫山泉,微博_mentions,0
2026-07-27,农夫山泉,知乎_mentions,0
2026-07-27,农夫山泉,百度_mentions,0
2026-07-27,华虹宏力,google_growth_1m,-45.0
2026-07-27,华虹宏力,google_growth_3m,-23.3
2026-07-27,华虹宏力,google_value,33.0
2026-07-27,华虹宏力,抖音_mentions,0
2026-07-27,华虹宏力,小红书_mentions,0
2026-07-27,华虹宏力,微博_mentions,0
2026-07-27,华虹宏力,知乎_mentions,0
2026-07-27,华虹宏力,百度_mentions,0
2026-07-27,宁德时代,google_growth_1m,-60.9
2026-07-27,宁德时代,google_growth_3m,-54.4
2026-07-27,宁德时代,google_value,36.0
2026-07-27,宁德时代,抖音_mentions,0
2026-07-27,宁德时代,小红书_mentions,0
2026-07-27,宁德时代,微博_mentions,0
2026-07-27,宁德时代,知乎_mentions,0
2026-07-27,宁德时代,百度_mentions,0
2026-07-27,智谱,google_growth_1m,4.7
2026-07-27,智谱,google_growth_3m,-10.0
2026-07-27,智谱,google_value,45.0
2026-07-27,智谱,抖音_mentions,0
2026-07-27,智谱,小红书_mentions,0
2026-07-27,智谱,微博_mentions,0
2026-07-27,智谱,知乎_mentions,0
2026-07-27,智谱,百度_mentions,0
2026-07-28,泡泡玛特,google_growth_1m,-32.1
2026-07-28,泡泡玛特,google_growth_3m,-44.1
2026-07-28,泡泡玛特,google_value,19.0
2026-07-28,泡泡玛特,抖音_mentions,0
2026-07-28,泡泡玛特,小红书_mentions,0
2026-07-28,泡泡玛特,微博_mentions,0
2026-07-28,泡泡玛特,知乎_mentions,0
2026-07-28,泡泡玛特,百度_mentions,0
2026-07-28,蜜雪集团,google_growth_1m,0.0
2026-07-28,蜜雪集团,google_growth_3m,6.7
2026-07-28,蜜雪集团,google_value,16.0
2026-07-28,蜜雪集团,抖音_mentions,0
2026-07-28,蜜雪集团,小红书_mentions,0
2026-07-28,蜜雪集团,微博_mentions,0
2026-07-28,蜜雪集团,知乎_mentions,0
2026-07-28,蜜雪集团,百度_mentions,0
2026-07-28,小米集团,google_growth_1m,-25.0
2026-07-28,小米集团,google_growth_3m,-20.3
2026-07-28,小米集团,google_value,51.0
2026-07-28,小米集团,抖音_mentions,0
2026-07-28,小米集团,小红书_mentions,0
2026-07-28,小米集团,微博_mentions,0
2026-07-28,小米集团,知乎_mentions,0
2026-07-28,小米集团,百度_mentions,0
2026-07-28,东方甄选,google_growth_1m,-56.2
